"Nombre","Distrito","Valoración","Número de comentarios","Precio","Fecha","Dirección","CP","lat","long"
"HOTEL OLYMPIA UNIVERSIDADES","Benimaclet, Valencia",8.5,2522,91.5,2022-07-31,"CALLE DEL DOCTOR VICENTE ZARAGOZA, 13, Valencia ",46020,39.4852155,-0.3632217
"ILUNION AQUA 3","Camins al Grau, Valencia",8,4389,151.5,2022-07-31,"CARRER DE LUIS GARCÍA-BERLANGA MARTÍ, 21, Valencia ",46023,39.45535,-0.34292
"MELIA PLAZA VALENCIA","Ciutat Vella, Valencia",8.7,2089,214.5,2022-07-31,"PLAZA DEL AYUNTAMIENTO, 4, CIUDAD VIEJA, Valencia ",46002,39.4707157,-0.376740504346867
"SILKEN PUERTA VALENCIA","Camins al Grau, Valencia",8.3,3860,124.5,2022-07-31,"AVENIDA CARDENAL BENLLOCH, 28, Valencia ",46021,39.46847,-0.35562
"HOSTAL BED OF THE SEA","Poblados marítimos, Valencia",6.8,625,94.5,2022-07-31,"CARRER DEL BELLO, 6, Valencia ",46024,39.4592038,-0.335289
"HOTEL DIMAR","Eixample, Valencia",8.6,2111,130,2022-07-31,"GRAN VIA DEL MARQUES DEL TURIA, 80, Valencia ",46005,39.4683488,-0.3650328
"YOU & CO. SALER BEACH BOUTIQUE","Poblados del Oeste, Valencia",8.5,2140,150,2022-07-31,"AVENIDA DE LOS PINARES, 10, Valencia ",46012,39.38323,-0.33266
"HOLIDAY INN EXPRESS CIUDAD DE LAS CIENCIAS, AN IHG HOTEL","Quatre Carreres, Valencia",7.7,2892,120,2022-07-31,"CALLE ESCRITOR RAFAEL FERRERES, 22, Valencia ",46013,39.45128425,-0.358367637180351
"YOU & CO. QUART BOUTIQUE","Extramurs, Valencia",8.8,1175,142.5,2022-07-31,"CALLE DOCTOR PESET CERVERA, 6, Valencia ",46008,39.4740918,-0.3869063
"HOTEL MALCOM AND BARRET","Quatre Carreres, Valencia",8.7,12642,154,2022-07-31,"AVINGUDA D'AUSIÀS MARCH, 59, Valencia ",46013,39.4507488,-0.3709729
"FLATS FRIENDS PLAZA DE LA REINA","Ciutat Vella, Valencia",7.9,774,112.5,2022-07-31,"PLAZA DE LA REINA, 12, Valencia ",46001,39.4737765,-0.3755166
"EUROSTARS ACTEÓN","Camins al Grau, Valencia",8.4,4936,206,2022-07-31,"CARRER DE VICENTE BELTRÁN GRIMAL, 2, Valencia ",46023,39.46363625,-0.347939215400449
"HULOT B&B VALENCIA","Ciutat Vella, Valencia",8.3,1124,97.5,2022-07-31,"CARRER DEL POETA LIERN, 16, Valencia ",46003,39.4747995,-0.3705918
"VINCCI PALACE","Ciutat Vella, Valencia",8.6,3609,214.5,2022-07-31,"CALLE DE LA PAZ, 42, CIUDAD VIEJA, Valencia ",46003,39.4735044,-0.3741584
"LAS ARENAS BALNEARIO RESORT","Poblados marítimos, Valencia",8.8,2359,304,2022-07-31,"CALLE EUGENIA VIÑES, 22-24, Valencia ",46011,39.4648302,-0.3248653
"ILUNION AQUA 4","Camins al Grau, Valencia",8.2,6250,183,2022-07-31,"CARRER DE LUIS GARCÍA BERLANGA MARTÍ, 19-21, Valencia ",46023,39.45594,-0.34578
"MARQUÉS HOUSE HOTEL 4* SUP","Ciutat Vella, Valencia",9.2,1103,178.5,2022-07-31,"CALLE DE LA ABADÍA DE SAN MARTÍN, 10, Valencia ",46002,39.473,-0.3754
"ILUNION VALENCIA 4","Benicalap, Valencia",8.1,3448,184,2022-07-31,"CALLE DEL VALLE DE AYORA, 1, Valencia ",46015,39.4912973,-0.3980026
"NALU VALENCIA BOUTIQUE ROOMS","Ciutat Vella, Valencia",8.2,205,166.5,2022-07-31,"CALLE DE LA SANGRE, 9, CIUDAD VIEJA, Valencia ",46002,39.4703868,-0.3773597
"VINCCI MERCAT","Ciutat Vella, Valencia",8.7,3320,286,2022-07-31,"CALLE DE LA LINTERNA, 31, Valencia ",46001,39.4719381,-0.3777896
"HOTEL MEDIUM VALENCIA","Quatre Carreres, Valencia",8.1,2616,153,2022-07-31,"AVINGUDA D'AMADO GRANELL MESADO, 48, Valencia ",46013,39.4588201,-0.3649061
"ORIGINAL DOMINO HOUSE","Camins al Grau, Valencia",8.7,724,92.5,2022-07-31,"CALLE DE LAS ISLAS CANARIAS, 51, GRAO, Valencia ",46023,39.4613327,-0.3380562
"ONLY YOU HOTEL VALENCIA","Ciutat Vella, Valencia",9.2,1663,235,2022-07-31,"PLAZA DE RODRIGO BOTET, 5, Valencia ",46002,39.471332,-0.3752529
"SENATOR PARQUE CENTRAL HOTEL","Eixample, Valencia",8,3580,97,2022-07-31,"PLAZA MANUEL SANCHIS GUARNER, 1, Valencia ",46006,39.4574798,-0.3755124
"HOTEL NEPTUNO","Poblados marítimos, Valencia",8.4,1247,216,2022-07-31,"PASEO DE NEPTUNO, 2-4, Valencia ",46011,39.46564,-0.3246869
"HOTEL PLAZA MERCADO & SPA","Ciutat Vella, Valencia",9.2,991,178.5,2022-07-31,"PLAZA DEL MERCADO, 45, CIUDAD VIEJA, Valencia ",46001,39.4734442,-0.3778781
"EUROSTARS GRAN VALENCIA","Benicalap, Valencia",8.4,2594,206.5,2022-07-31,"CALLE DEL VALLE DE AYORA, 3, Valencia ",46015,39.4915771,-0.3982036
"COOL LOFS CENTER VALENCIA","Extramurs, Valencia",7.8,18,132.5,2022-07-31,"CALLE LEPANTO, 6, EL BOTÀNIC, Valencia ",46008,39.47406,-0.38438
"SEA YOU HOTEL PORT VALENCIA","Poblados marítimos, Valencia",7.4,1019,166.5,2022-07-31,"PLAÇA DEL TRIBUNAL DE LES AIGÜES, 5, Valencia ",46011,39.4609113,-0.3339595
"SERCOTEL VALENCIA ALAMEDA 41","Camins al Grau, Valencia",9,1970,170,2022-07-31,"PASEO DE LA ALAMEDA, 41, Valencia ",46023,39.4726866,-0.3644008
"ARENA ZONE HOTEL & CAFÉ","Quatre Carreres, Valencia",8.7,896,139,2022-07-31,"AVENIDA DE ANTONIO FERRANDIS (ACTOR), 18, Valencia ",46013,39.4510025,-0.3569108
"ONE SHOT MERCAT 09","Ciutat Vella, Valencia",8.6,677,148.5,2022-07-31,"CALLE DEL MÚSICO PEYDRO, 9-11, Valencia ",46001,39.4720362,-0.3781813
"CASUAL VINTAGE VALENCIA","Ciutat Vella, Valencia",8.1,3956,112.5,2022-07-31,"CALLE DE LA BARCELONINA, 1, Valencia ",46002,39.47134,-0.37632
"NANIT VALENCIA HOSTEL","Poblados marítimos, Valencia",8.3,1178,174.5,2022-07-31,"CARRER D'ESCALANTE, 13, Valencia ",46011,39.4618734,-0.3314282
"HOTEL BOUTIQUE BALANDRET","Poblados marítimos, Valencia",8.8,1408,287,2022-07-31,"PASEO DE NEPTUNO, 20, Valencia ",46011,39.4639344,-0.3235479
"BLANQ CARMEN HOTEL","Ciutat Vella, Valencia",8.4,1507,173.5,2022-07-31,"CALLE BLANQUERIAS, 11, Valencia ",46002,39.4810622,-0.3790927
"NH CIUDAD DE VALENCIA","Camins al Grau, Valencia",7.9,3227,108.5,2022-07-31,"AVENIDA DEL PUERTO, 214, GRAO, POBLATS MARÍTIMS, Valencia ",46023,39.46276,-0.34339
"PALACIO VALLIER 5*","Ciutat Vella, Valencia",9.5,832,255,2022-07-31,"PLAZA DE MANISES, 7, Valencia ",46003,39.4767525,-0.3762522
"HOSPES PALAU DE LA MAR","Eixample, Valencia",8.6,1145,193.5,2022-07-31,"AVENIDA DE NAVARRO REVERTER, 14, Valencia ",46004,39.470987,-0.3665897
"THE WESTIN VALENCIA","El Pla del Real, Valencia",8.6,1210,286,2022-07-31,"CALLE DE AMADEO DE SABOYA, 16, Valencia ",46010,39.472942,-0.361162817708596
"AC HOTEL VALENCIA BY MARRIOTT","Camins al Grau, Valencia",8.3,1264,121.5,2022-07-31,"AVENIDA DE FRANCIA, 67, GRAO, Valencia ",46023,39.45886,-0.34393
"YOURS BOUTIQUE STAY","Eixample, Valencia",9.3,150,164,2022-07-31,"CARRER DE CUBA, 19, Valencia ",46006,39.4620147,-0.37698
"PENSION MONALISA LUXURY SUITES","Extramurs, Valencia",8,667,95,2022-07-31,"AVENIDA DE PÉREZ GALDOS, 12, Valencia ",46007,39.4632544,-0.3871553
"HOTEL KRAMER","Campanar, Valencia",8.8,5431,164,2022-07-31,"AVENIDA DE CAMPANAR, 90, Valencia ",46015,39.48078725,-0.393498593134684
"VENECIA PLAZA CENTRO","Ciutat Vella, Valencia",9,6768,154,2022-07-31,"PLAZA DEL AYUNTAMIENTO, 3, CIUDAD VIEJA, Valencia ",46002,39.4718725,-0.3768941
"BLANQ COMEDIAS","Ciutat Vella, Valencia",8.8,1111,157,2022-07-31,"CALLE DE LAS COMEDIAS, 21, CIUDAD VIEJA, Valencia ",46003,39.4729205,-0.3723845
"OPERA HOUSE VALENCIA B&B","Camins al Grau, Valencia",9.1,700,178,2022-07-31,"CALLE DE ENRIQUE VIEDMA VIDAL (ARQUITECTO), 2, Valencia ",46023,39.4631352,-0.3571467
"RUSSAFA YOUTH HOSTEL","Eixample, Valencia",8.4,715,76.5,2022-07-31,"CALLE DEL PADRE PERERA, 5, Valencia ",46006,39.4626176,-0.371846
"COSMO HOTEL BOUTIQUE","Ciutat Vella, Valencia",9.3,2207,236,2022-07-31,"AVENIDA DE MARÍA CRISTINA, 18, Valencia ",46003,39.4727474,-0.3773469
"COSY ROOMS EMBAJADOR","Ciutat Vella, Valencia",6.9,1637,116.5,2022-07-31,"CALLE DEL EMBAJADOR VICH, 5, Valencia ",46002,39.472443,-0.375378
"NH VALENCIA LAS ARTES","Quatre Carreres, Valencia",8,2491,108.5,2022-07-31,"AVENIDA DEL INSTITUTO OBRERO DE VALENCIA, 28, Valencia ",46013,39.45572,-0.3573
"COSY ROOMS BOLSERÍA","Ciutat Vella, Valencia",7.1,837,100,2022-07-31,"CALLE DE LAS MONJAS, 4, CIUDAD VIEJA, Valencia ",46001,39.47537615,-0.380247718542199
"CASUAL DE LAS ARTES VALENCIA","Camins al Grau, Valencia",8.1,2477,116.5,2022-07-31,"AVENIDA DEL PUERTO, 39, GRAO, POBLATS MARÍTIMS, Valencia ",46021,39.46709,-0.35582
"SH SUITE PALACE","Ciutat Vella, Valencia",8.5,260,105.5,2022-07-31,"PLAÇA DE MARGARITA VALLDAURA, 2, Valencia ",46002,39.4733342,-0.37485410510106
"HELEN BERGER BOUTIQUE HOTEL","Ciutat Vella, Valencia",9.2,2066,264,2022-07-31,"CALLE DE LA NAVE, 3, Valencia ",46003,39.4719418,-0.3709758
"L&H GRAN VÍA VALENCIA","Extramurs, Valencia",9.1,324,231,2022-07-31,"GRAN VÍA FERNANDO EL CATOLICO, 63, Valencia ",46008,39.4750883,-0.388812
"COSY ROOMS TAPINERÍA","Ciutat Vella, Valencia",6.8,1200,97,2022-07-31,"CARRER DE LA TAPINERIA, 13, Valencia ",46001,39.4747296,-0.3764117
"SH VALENCIA PALACE","El Pla del Real, Valencia",8.3,2360,170,2022-07-31,"PASEO DE LA ALAMEDA, 32, Valencia ",46023,39.4675577,-0.359796353075922
