"Nombre","Distrito","Valoración","Número de comentarios","Precio","Fecha","Dirección","CP","lat","long"
"ONE SHOT MERCAT 09","Ciutat Vella, Valencia",8.6,678,117,2022-11-27,"CALLE DEL MÚSICO PEYDRO, 9-11, Valencia ",46001,39.4720362,-0.3781813
"ILUNION VALENCIA 4","Benicalap, Valencia",8.1,3449,124,2022-11-27,"CALLE DEL VALLE DE AYORA, 1, Valencia ",46015,39.4912973,-0.3980026
"NH VALENCIA CENTER","Campanar, Valencia",8.1,3409,82,2022-11-27,"CALLE DE RICARDO MICÓ, 1, Valencia ",46009,39.4808319,-0.387316431843575
"EXPO HOTEL VALENCIA","Campanar, Valencia",7.6,3163,141,2022-11-27,"AVENIDA PIO XII, 4, Valencia ",46009,39.4789872,-0.3911033
"COSY ROOMS BOLSERÍA","Ciutat Vella, Valencia",7.1,837,74.5,2022-11-27,"CALLE DE LAS MONJAS, 4, CIUDAD VIEJA, Valencia ",46001,39.47537615,-0.380247718542199
"HOTEL OLYMPIA UNIVERSIDADES","Benimaclet, Valencia",8.5,2522,53.5,2022-11-27,"CALLE DEL DOCTOR VICENTE ZARAGOZA, 13, Valencia ",46020,39.4852155,-0.3632217
"HOTEL MEDIUM VALENCIA","Quatre Carreres, Valencia",8.1,2612,78.5,2022-11-27,"AVINGUDA D'AMADO GRANELL MESADO, 48, Valencia ",46013,39.4588201,-0.3649061
"ABCYOU BED&BREAKFAST","Eixample, Valencia",8.7,1061,75,2022-11-27,"CARRER DEL TAQUÍGRAF MARTÍ, 10, Valencia ",46005,39.4652174,-0.3706618
"HOSPES PALAU DE LA MAR","Eixample, Valencia",8.6,1142,149,2022-11-27,"AVENIDA DE NAVARRO REVERTER, 14, Valencia ",46004,39.470987,-0.3665897
"NH VALENCIA LAS ARTES","Quatre Carreres, Valencia",8,2491,88.5,2022-11-27,"AVENIDA DEL INSTITUTO OBRERO DE VALENCIA, 28, Valencia ",46013,39.45572,-0.3573
"NH VALENCIA LAS CIENCIAS","Quatre Carreres, Valencia",7.7,2318,64.5,2022-11-27,"AVENIDA DEL INSTITUTO OBRERO DE VALENCIA, 26, Valencia ",46013,39.45538,-0.35817
"CITY GARDEN BED AND BREAKFAST","Eixample, Valencia",8.9,529,84.5,2022-11-27,"CARRER DEL GENERAL PRIM, 1, Valencia ",46005,39.4630952,-0.3713553
"HOTEL PLAZA MERCADO & SPA","Ciutat Vella, Valencia",9.2,992,161.5,2022-11-27,"PLAZA DEL MERCADO, 45, CIUDAD VIEJA, Valencia ",46001,39.4734442,-0.3778781
"PETIT PALACE RUZAFA","Eixample, Valencia",8.6,1886,91.5,2022-11-27,"CALLE DE SUECA, 14, Valencia ",46006,39.4627112,-0.3761459
"HOTEL ALKAZAR","Ciutat Vella, Valencia",7.9,1341,64.5,2022-11-27,"PLAZA DEL AYUNTAMIENTO, 11, CIUDAD VIEJA, Valencia ",46002,39.4689,-0.37431
"ONLY YOU HOTEL VALENCIA","Ciutat Vella, Valencia",9.2,1667,210,2022-11-27,"PLAZA DE RODRIGO BOTET, 5, Valencia ",46002,39.471332,-0.3752529
"HOSTAL BED OF THE SEA","Poblados marítimos, Valencia",6.8,625,60,2022-11-27,"CARRER DEL BELLO, 6, Valencia ",46024,39.4592038,-0.335289
"HOTEL BELERET","Poblados del Oeste, Valencia",7.8,2040,66,2022-11-27,"CALLE CAMPAMENTO, 76, BENIMÀMET, Valencia ",46035,39.50056,-0.42511
"HOSTAL TARTESSOS","Ciutat Vella, Valencia",8.7,547,57,2022-11-27,"PASAJE DE LA SANGRE, 5, Valencia ",46001,39.4707154,-0.377145
"BARCELÓ VALENCIA","Camins al Grau, Valencia",8.6,2284,94.5,2022-11-27,"AVENIDA DE FRANCIA, 11, GRAO, Valencia ",46023,39.46087,-0.35258
"MELIA PLAZA VALENCIA","Ciutat Vella, Valencia",8.7,2090,99,2022-11-27,"PLAZA DEL AYUNTAMIENTO, 4, CIUDAD VIEJA, Valencia ",46002,39.4707157,-0.376740504346867
"PRIMUS VALENCIA","Camins al Grau, Valencia",8.2,3805,85.5,2022-11-27,"CALLE DE MENORCA, 22, Valencia ",46023,39.4576914,-0.3457277
"HULOT B&B VALENCIA","Ciutat Vella, Valencia",8.3,1123,58.5,2022-11-27,"CARRER DEL POETA LIERN, 16, Valencia ",46003,39.4747995,-0.3705918
"YOU & CO. QUART BOUTIQUE","Extramurs, Valencia",8.8,1177,92.5,2022-11-27,"CALLE DOCTOR PESET CERVERA, 6, Valencia ",46008,39.4740918,-0.3869063
"CITY SUITES UNIVERSIDADES","El Pla del Real, Valencia",7.4,679,64.5,2022-11-27,"AVENIDA DEL PRIMADO REIG, 102, Valencia ",46010,39.4815637,-0.3600556
"BALCÓN AL MAR","Poblados marítimos, Valencia",8.3,568,85.5,2022-11-27,"CARRER DE JOAN JOSEP SISTER, 1, Valencia ",46024,39.4601149,-0.3337991
"NEST STYLE VALENCIA","Camins al Grau, Valencia",9.2,599,79.5,2022-11-27,"AVENIDA DEL PUERTO, 77, GRAO, POBLATS MARÍTIMS, Valencia ",46021,39.46616,-0.35295
"MD MODERN HOTEL - JARDINES","Eixample, Valencia",8.5,1133,112.5,2022-11-27,"CARRER DEL MESTRE RACIONAL, 23, Valencia ",46005,39.4641809,-0.3617507
"CASUAL DEL CINE VALENCIA","Ciutat Vella, Valencia",8.4,2332,86.5,2022-11-27,"CALLE DEL CONVENTO DE SAN FRANCISCO, 7, Valencia ",46002,39.4689015,-0.3776315
"HOTEL KRAMER","Campanar, Valencia",8.8,5431,116,2022-11-27,"AVENIDA DE CAMPANAR, 90, Valencia ",46015,39.48078725,-0.393498593134684
"SH VALENCIA PALACE","El Pla del Real, Valencia",8.3,2360,150,2022-11-27,"PASEO DE LA ALAMEDA, 32, Valencia ",46023,39.4675577,-0.359796353075922
"SH INGLES BOUTIQUE HOTEL","Ciutat Vella, Valencia",8.2,1265,142.5,2022-11-27,"CALLE  DEL MARQUÉS DE DOS AGUAS, 6, CIUDAD VIEJA, Valencia ",46002,39.4732021,-0.3743062
"AC HOTEL COLÓN VALENCIA BY MARRIOTT","Eixample, Valencia",8.5,490,140.5,2022-11-27,"CALLE DE COLÓN, 6, Valencia ",46004,39.467302,-0.3743674
"CITY SUITES ABASTOS","Extramurs, Valencia",7.9,1159,78,2022-11-27,"CALLE DE MARTIN EL HUMANO, 28, Valencia ",46008,39.4704832,-0.3908281
"HOME YOUTH HOSTEL BY FEETUP HOSTELS","Ciutat Vella, Valencia",8.7,862,59,2022-11-27,"CALLE  DE LA LONJA, 4, Valencia ",46001,39.4744359,-0.3779944
"BLANQ COMEDIAS","Ciutat Vella, Valencia",8.8,1111,87.5,2022-11-27,"CALLE DE LAS COMEDIAS, 21, CIUDAD VIEJA, Valencia ",46003,39.4729205,-0.3723845
"URBAN YOUTH HOSTEL","Poblados marítimos, Valencia",8.4,1278,55,2022-11-27,"AVENIDA DEL PUERTO, 280, GRAO, POBLATS MARÍTIMS, Valencia ",46024,39.4612649,-0.3377946
"NH COLLECTION COLÓN VALENCIA","Eixample, Valencia",8.7,986,152.5,2022-11-27,"CALLE DE COLÓN, 32, Valencia ",46004,39.468559,-0.3725678
"HELEN BERGER BOUTIQUE HOTEL","Ciutat Vella, Valencia",9.2,2068,312,2022-11-27,"CALLE DE LA NAVE, 3, Valencia ",46003,39.4719418,-0.3709758
"PURPLE NEST HOSTEL","Ciutat Vella, Valencia",8,1245,46.5,2022-11-27,"PLAZA DE TETUÁN, 5, Valencia ",46003,39.4746181,-0.3701021
"L&H GRAN VÍA VALENCIA","Extramurs, Valencia",9.1,325,195,2022-11-27,"GRAN VÍA FERNANDO EL CATOLICO, 63, Valencia ",46008,39.4750883,-0.388812
"PALACIO SANTA CLARA, AUTOGRAPH COLLECTION","Ciutat Vella, Valencia",9.3,263,194,2022-11-27,"CALLE DE PASCUAL Y GENIS, 22, Valencia ",46002,39.4682301,-0.3738525
"LOTELITO","Ciutat Vella, Valencia",8.8,1300,228,2022-11-27,"CALLE DE VIRUÉS, 6, Valencia ",46002,39.4709807,-0.3746814
"HOTEL VALENCIA OCEANIC AFFILIATED BY MELIÁ","Camins al Grau, Valencia",8.3,2414,90,2022-11-27,"CALLE DEL PINTOR MAELLA, 35, Valencia ",46023,39.45828105,-0.347884075806882
"BLANQ CARMEN HOTEL","Ciutat Vella, Valencia",8.3,1508,117.5,2022-11-27,"CALLE BLANQUERIAS, 11, Valencia ",46002,39.4810622,-0.3790927
"HOTEL NEPTUNO","Poblados marítimos, Valencia",8.4,1248,126,2022-11-27,"PASEO DE NEPTUNO, 2-4, Valencia ",46011,39.46564,-0.3246869
"REINA 107 BEACH BOUTIQUE","Poblados marítimos, Valencia",8.7,393,349,2022-11-27,"CARRER DE LA REINA, 107, Valencia ",46011,39.4684516,-0.328803
"HOST & HOME","Ciutat Vella, Valencia",8.6,650,72.5,2022-11-27,"CALLE DE VITORIA, 3, Valencia ",46002,39.4728166,-0.3760432
"MARQUÉS HOUSE HOTEL 4* SUP","Ciutat Vella, Valencia",9.2,1101,164.5,2022-11-27,"CALLE DE LA ABADÍA DE SAN MARTÍN, 10, Valencia ",46002,39.473,-0.3754
"MD DESIGN HOTEL - PORTAL DEL REAL","Ciutat Vella, Valencia",9,1065,132.5,2022-11-27,"CARRER DE BOIX, 3, Valencia ",46003,39.47697,-0.37238
"ILUNION AQUA 4","Camins al Grau, Valencia",8.2,6255,138.5,2022-11-27,"CARRER DE LUIS GARCÍA BERLANGA MARTÍ, 19-21, Valencia ",46023,39.45594,-0.34578
"COSY ROOMS TAPINERÍA","Ciutat Vella, Valencia",6.8,1200,148.5,2022-11-27,"CARRER DE LA TAPINERIA, 13, Valencia ",46001,39.4747296,-0.3764117
"RUSSAFA YOUTH HOSTEL","Eixample, Valencia",8.4,713,60.5,2022-11-27,"CALLE DEL PADRE PERERA, 5, Valencia ",46006,39.4626176,-0.371846
"THE VALENTIA CABILLERS","Ciutat Vella, Valencia",8.9,1665,169,2022-11-27,"CARRER DELS CABILLERS, 3, Valencia ",46003,39.47477,-0.3750246
"HOTEL SAN LORENZO BOUTIQUE","Ciutat Vella, Valencia",8.4,1564,90,2022-11-27,"PLAZA DE SAN LORENZO, 2, Valencia ",46003,39.4778128,-0.374827315285652
"SH SUITE PALACE","Ciutat Vella, Valencia",8.5,261,100.5,2022-11-27,"PLAÇA DE MARGARITA VALLDAURA, 2, Valencia ",46002,39.4733342,-0.37485410510106
"SERCOTEL VALENCIA ALAMEDA 41","Camins al Grau, Valencia",9,1968,117.5,2022-11-27,"PASEO DE LA ALAMEDA, 41, Valencia ",46023,39.4726866,-0.3644008
"NALU VALENCIA BOUTIQUE ROOMS","Ciutat Vella, Valencia",8.2,205,181,2022-11-27,"CALLE DE LA SANGRE, 9, CIUDAD VIEJA, Valencia ",46002,39.4703868,-0.3773597
"ORIGINAL DOMINO HOUSE","Camins al Grau, Valencia",8.7,725,96.5,2022-11-27,"CALLE DE LAS ISLAS CANARIAS, 51, GRAO, Valencia ",46023,39.4613327,-0.3380562
"YOURS BOUTIQUE STAY","Eixample, Valencia",9.3,150,131.5,2022-11-27,"CARRER DE CUBA, 19, Valencia ",46006,39.4620147,-0.37698
"PALACIO VALLIER 5*","Ciutat Vella, Valencia",9.5,836,249.5,2022-11-27,"PLAZA DE MANISES, 7, Valencia ",46003,39.4767525,-0.3762522
"COSY ROOMS EMBAJADOR","Ciutat Vella, Valencia",6.9,1637,87.5,2022-11-27,"CALLE DEL EMBAJADOR VICH, 5, Valencia ",46002,39.472443,-0.375378
"MALVARROSA BEACH ROOMS","Poblados marítimos, Valencia",5.7,1390,85,2022-11-27,"PASEO NEPTUNO, 34, Valencia ",46011,39.4645368,-0.323392972524676
"PAMPHYLIA HOTEL","Poblados marítimos, Valencia",8.9,153,135,2022-11-27,"PASEO DE NEPTUNO, 40, Valencia ",46011,39.46468905,-0.32341469206265
"THE WESTIN VALENCIA","El Pla del Real, Valencia",8.6,1210,280.5,2022-11-27,"CALLE DE AMADEO DE SABOYA, 16, Valencia ",46010,39.472942,-0.361162817708596
"CARO HOTEL","Ciutat Vella, Valencia",9,476,196,2022-11-27,"CARRER DE L'ALMIRALL, 14, Valencia ",46003,39.4759686,-0.3720638
"COSMO HOTEL BOUTIQUE","Ciutat Vella, Valencia",9.3,2209,296,2022-11-27,"AVENIDA DE MARÍA CRISTINA, 18, Valencia ",46003,39.4727474,-0.3773469
"HOTEL EL SIGLO","Ciutat Vella, Valencia",8,880,123.5,2022-11-27,"PLAZA DE SANTA CATALINA, 11, Valencia ",46001,39.473877,-0.3760907
"BIZZBEACH","Poblados marítimos, Valencia",8,207,20,2022-11-06,"CALLE DE IBIZA, 17, Valencia ",46024,39.4602115,-0.3399427
"HI VALENCIA CANOVAS","Eixample, Valencia",7.9,2212,77.5,2022-11-06,"CALLE DE CIRILO AMORÓS, 82, Valencia ",46004,39.4667056,-0.3729278
"EUROSTARS REY DON JAIME","Camins al Grau, Valencia",7.9,11633,198.5,2022-11-06,"AVENIDA BALEARES, 2, Valencia ",46023,39.4633945,-0.3566471
"CASUAL DE LA MÚSICA VALENCIA","Ciutat Vella, Valencia",7.1,2629,57.5,2022-11-06,"CALLE DE PADILLA, 4, Valencia ",46001,39.4701428,-0.3795473
"SWEET HOTEL CONTINENTAL","Ciutat Vella, Valencia",8.1,3170,106.5,2022-11-06,"CALLE DE CORREOS, 8, Valencia ",46002,39.4697061,-0.3745483
"ZENIT VALENCIA","Extramurs, Valencia",8.6,1867,215,2022-11-06,"CALLE DE BAILÉN, 8, LA ROQUETA, Valencia ",46007,39.4667681,-0.3780804
"AC HOTEL VALENCIA BY MARRIOTT","Camins al Grau, Valencia",8.3,1264,192.5,2022-11-06,"AVENIDA DE FRANCIA, 67, GRAO, Valencia ",46023,39.45886,-0.34393
"CATALONIA EXCELSIOR","Ciutat Vella, Valencia",8.5,2209,165,2022-11-06,"CALLE DE LA BARCELONINA, 5, Valencia ",46002,39.4714,-0.37587
"PORT FERIA VALENCIA","Poblados del Oeste, Valencia",8.1,3329,167,2022-11-06,"CARRER DE CULLERA, 67, Valencia ",46035,39.5041799,-0.4228127
"EXPO HOTEL VALENCIA","Campanar, Valencia",7.6,3163,193.5,2022-11-06,"AVENIDA PIO XII, 4, Valencia ",46009,39.4789872,-0.3911033
"MELIA PLAZA VALENCIA","Ciutat Vella, Valencia",8.7,2090,165,2022-11-06,"PLAZA DEL AYUNTAMIENTO, 4, CIUDAD VIEJA, Valencia ",46002,39.4707157,-0.376740504346867
"ILUNION VALENCIA 3","Benicalap, Valencia",7.8,3029,230,2022-11-06,"CALLE DEL VALLE DE AYORA, 5, Valencia ",46015,39.4932582,-0.3991733
"ILUNION AQUA 3","Camins al Grau, Valencia",8,4390,195,2022-11-06,"CARRER DE LUIS GARCÍA-BERLANGA MARTÍ, 21, Valencia ",46023,39.45535,-0.34292
"HOTEL DIMAR","Eixample, Valencia",8.6,2111,150,2022-11-06,"GRAN VIA DEL MARQUES DEL TURIA, 80, Valencia ",46005,39.4683488,-0.3650328
"EL COSO","Poblados marítimos, Valencia",7.9,1323,150,2022-11-06,"PASEO DE NEPTUNO, 12, Valencia ",46011,39.463687,-0.323421
"SENATOR PARQUE CENTRAL HOTEL","Eixample, Valencia",8,3573,86.5,2022-11-06,"PLAZA MANUEL SANCHIS GUARNER, 1, Valencia ",46006,39.4574798,-0.3755124
"HOTEL MIRAMAR VALENCIA","Poblados marítimos, Valencia",8.2,1090,130,2022-11-06,"PASEO DE NEPTUNO, 32, Valencia ",46011,39.4642871,-0.323598
"MARQUÉS HOUSE HOTEL 4* SUP","Ciutat Vella, Valencia",9.2,1101,249.5,2022-11-06,"CALLE DE LA ABADÍA DE SAN MARTÍN, 10, Valencia ",46002,39.473,-0.3754
"SILKEN PUERTA VALENCIA","Camins al Grau, Valencia",8.3,3855,167.5,2022-11-06,"AVENIDA CARDENAL BENLLOCH, 28, Valencia ",46021,39.46847,-0.35562
"LAS ARENAS BALNEARIO RESORT","Poblados marítimos, Valencia",8.8,2362,297,2022-11-06,"CALLE EUGENIA VIÑES, 22-24, Valencia ",46011,39.4648302,-0.3248653
"SERCOTEL SOROLLA PALACE","Poblados del Oeste, Valencia",8.3,4873,226.5,2022-11-06,"AVENIDA DE LAS CORTES VALENCIANAS, 58, Valencia ",46015,39.49617,-0.40132
"VINCCI LYS","Ciutat Vella, Valencia",8.7,5497,467.5,2022-11-06,"CALLE DE MARTÍNEZ CUBELLS, 5, Valencia ",46002,39.4683538,-0.3751913
"HOTEL CONQUERIDOR","Extramurs, Valencia",8,2392,189,2022-11-06,"CALLE DE CERVANTES, 9, LA ROQUETA, Valencia ",46007,39.4669877,-0.3820251
"DWO VALENCIA","Camins al Grau, Valencia",7.6,1720,218.5,2022-11-06,"AVENIDA DEL PUERTO, 129, GRAO, POBLATS MARÍTIMS, Valencia ",46022,39.46481,-0.34687
"ILUNION AQUA 4","Camins al Grau, Valencia",8.2,6255,227,2022-11-06,"CARRER DE LUIS GARCÍA BERLANGA MARTÍ, 19-21, Valencia ",46023,39.45594,-0.34578
"HOTEL PLAZA MERCADO & SPA","Ciutat Vella, Valencia",9.2,992,238,2022-11-06,"PLAZA DEL MERCADO, 45, CIUDAD VIEJA, Valencia ",46001,39.4734442,-0.3778781
"CENTER VALENCIA YOUTH HOSTEL","Ciutat Vella, Valencia",8,2102,157.5,2022-11-06,"CALLE DE SAMANIEGO, 18, Valencia ",46003,39.4776492,-0.3762403
"HOTEL MALCOM AND BARRET","Quatre Carreres, Valencia",8.7,12650,182,2022-11-06,"AVINGUDA D'AUSIÀS MARCH, 59, Valencia ",46013,39.4507488,-0.3709729
"HOTEL MEDIUM VALENCIA","Quatre Carreres, Valencia",8.1,2612,162,2022-11-06,"AVINGUDA D'AMADO GRANELL MESADO, 48, Valencia ",46013,39.4588201,-0.3649061
"ONLY YOU HOTEL VALENCIA","Ciutat Vella, Valencia",9.2,1667,400,2022-11-06,"PLAZA DE RODRIGO BOTET, 5, Valencia ",46002,39.471332,-0.3752529
"ILUNION VALENCIA 4","Benicalap, Valencia",8.1,3449,248,2022-11-06,"CALLE DEL VALLE DE AYORA, 1, Valencia ",46015,39.4912973,-0.3980026
"HOSPES PALAU DE LA MAR","Eixample, Valencia",8.6,1142,387,2022-11-06,"AVENIDA DE NAVARRO REVERTER, 14, Valencia ",46004,39.470987,-0.3665897
"VINCCI PALACE","Ciutat Vella, Valencia",8.6,3608,467.5,2022-11-06,"CALLE DE LA PAZ, 42, CIUDAD VIEJA, Valencia ",46003,39.4735044,-0.3741584
"VINCCI MERCAT","Ciutat Vella, Valencia",8.7,3320,605,2022-11-06,"CALLE DE LA LINTERNA, 31, Valencia ",46001,39.4719381,-0.3777896
"HOTEL BOUTIQUE BALANDRET","Poblados marítimos, Valencia",8.8,1409,236.5,2022-11-06,"PASEO DE NEPTUNO, 20, Valencia ",46011,39.4639344,-0.3235479
"HOTEL VALENCIA CENTER","Camins al Grau, Valencia",8.3,5520,180.5,2022-11-06,"AVENIDA DE FRANCIA, 33, GRAO, Valencia ",46023,39.46017,-0.34948
"SWEET HOTEL RENASA","El Pla del Real, Valencia",8.1,3438,108.5,2022-11-06,"AVENIDA DE CATALUÑA, 5, Valencia ",46010,39.480567,-0.3529597
"PALACIO VALLIER 5*","Ciutat Vella, Valencia",9.5,836,374,2022-11-06,"PLAZA DE MANISES, 7, Valencia ",46003,39.4767525,-0.3762522
"ARENA ZONE HOTEL & CAFÉ","Quatre Carreres, Valencia",8.7,900,204,2022-11-06,"AVENIDA DE ANTONIO FERRANDIS (ACTOR), 18, Valencia ",46013,39.4510025,-0.3569108
"EUROSTARS ACTEÓN","Camins al Grau, Valencia",8.4,4937,209,2022-11-06,"CARRER DE VICENTE BELTRÁN GRIMAL, 2, Valencia ",46023,39.46363625,-0.347939215400449
"SERCOTEL VALENCIA ALAMEDA 41","Camins al Grau, Valencia",9,1968,250,2022-11-06,"PASEO DE LA ALAMEDA, 41, Valencia ",46023,39.4726866,-0.3644008
"ZALAMERA BNB","Extramurs, Valencia",8.8,1006,112.5,2022-11-06,"CALLE DE PELAYO, 44, LA ROQUETA, Valencia ",46007,39.4655859,-0.3791324
"THE WESTIN VALENCIA","El Pla del Real, Valencia",8.6,1210,605,2022-11-06,"CALLE DE AMADEO DE SABOYA, 16, Valencia ",46010,39.472942,-0.361162817708596
"VENECIA PLAZA CENTRO","Ciutat Vella, Valencia",9,6760,169,2022-11-06,"PLAZA DEL AYUNTAMIENTO, 3, CIUDAD VIEJA, Valencia ",46002,39.4718725,-0.3768941
"NH VALENCIA LAS CIENCIAS","Quatre Carreres, Valencia",7.7,2318,122,2022-11-06,"AVENIDA DEL INSTITUTO OBRERO DE VALENCIA, 26, Valencia ",46013,39.45538,-0.35817
"L'ESPLAI VALENCIA","Ciutat Vella, Valencia",9.4,573,141,2022-11-06,"CALLE DE LUIS VIVES, 5, CIUDAD VIEJA, Valencia ",46003,39.4736411,-0.3748383
"EUROSTARS GRAN VALENCIA","Benicalap, Valencia",8.4,2587,274.5,2022-11-06,"CALLE DEL VALLE DE AYORA, 3, Valencia ",46015,39.4915771,-0.3982036
"CASUAL VINTAGE VALENCIA","Ciutat Vella, Valencia",8.1,3959,154,2022-11-06,"CALLE DE LA BARCELONINA, 1, Valencia ",46002,39.47134,-0.37632
"RUSSAFA YOUTH HOSTEL","Eixample, Valencia",8.4,713,76.5,2022-11-06,"CALLE DEL PADRE PERERA, 5, Valencia ",46006,39.4626176,-0.371846
"HOLIDAY INN EXPRESS CIUDAD DE LAS CIENCIAS, AN IHG HOTEL","Quatre Carreres, Valencia",7.7,2890,107,2022-11-06,"CALLE ESCRITOR RAFAEL FERRERES, 22, Valencia ",46013,39.45128425,-0.358367637180351
"MD MODERN HOTEL - JARDINES","Eixample, Valencia",8.5,1133,146,2022-11-06,"CARRER DEL MESTRE RACIONAL, 23, Valencia ",46005,39.4641809,-0.3617507
"HOTEL TURIA","Campanar, Valencia",7.5,3039,151.5,2022-11-06,"CARRER DEL PROFESOR BELTRÁN BÁGUENA, 2, Valencia ",46009,39.4803567,-0.3890109
"COSMO HOTEL BOUTIQUE","Ciutat Vella, Valencia",9.3,2209,296,2022-11-06,"AVENIDA DE MARÍA CRISTINA, 18, Valencia ",46003,39.4727474,-0.3773469
"ABCYOU BED&BREAKFAST","Eixample, Valencia",8.7,1061,114,2022-11-06,"CARRER DEL TAQUÍGRAF MARTÍ, 10, Valencia ",46005,39.4652174,-0.3706618
"HOTEL KRAMER","Campanar, Valencia",8.8,5431,224,2022-11-06,"AVENIDA DE CAMPANAR, 90, Valencia ",46015,39.48078725,-0.393498593134684
"MELIA VALENCIA","Benicalap, Valencia",8.8,1816,227,2022-11-06,"AVENIDA DE LAS CORTES VALENCIANAS, 52, Valencia ",46015,39.49472,-0.40081
"NH CIUDAD DE VALENCIA","Camins al Grau, Valencia",7.9,3221,163.5,2022-11-06,"AVENIDA DEL PUERTO, 214, GRAO, POBLATS MARÍTIMS, Valencia ",46023,39.46276,-0.34339
"HELEN BERGER BOUTIQUE HOTEL","Ciutat Vella, Valencia",9.2,2068,312,2022-11-06,"CALLE DE LA NAVE, 3, Valencia ",46003,39.4719418,-0.3709758
"COSY ROOMS BOLSERÍA","Ciutat Vella, Valencia",7.1,837,123.5,2022-11-06,"CALLE DE LAS MONJAS, 4, CIUDAD VIEJA, Valencia ",46001,39.47537615,-0.380247718542199
"L&H GRAN VÍA VALENCIA","Extramurs, Valencia",9.1,325,282,2022-11-06,"GRAN VÍA FERNANDO EL CATOLICO, 63, Valencia ",46008,39.4750883,-0.388812
"LOTELITO","Ciutat Vella, Valencia",8.8,1299,228,2022-11-06,"CALLE DE VIRUÉS, 6, Valencia ",46002,39.4709807,-0.3746814
"LINDALA","Poblados marítimos, Valencia",8.9,1146,389,2022-11-06,"CALLE ERNESTO ANASTASIO, 46, Valencia ",46011,39.4646851,-0.3339927
"AC HOTEL COLÓN VALENCIA BY MARRIOTT","Eixample, Valencia",8.5,490,253,2022-11-06,"CALLE DE COLÓN, 6, Valencia ",46004,39.467302,-0.3743674
"NH VALENCIA LAS ARTES","Quatre Carreres, Valencia",8,2491,140.5,2022-11-06,"AVENIDA DEL INSTITUTO OBRERO DE VALENCIA, 28, Valencia ",46013,39.45572,-0.3573
"HOTEL VALENCIA OCEANIC AFFILIATED BY MELIÁ","Camins al Grau, Valencia",8.3,2414,161,2022-11-06,"CALLE DEL PINTOR MAELLA, 35, Valencia ",46023,39.45828105,-0.347884075806882
"CASUAL DE LAS ARTES VALENCIA","Camins al Grau, Valencia",8.1,2482,208.5,2022-11-06,"AVENIDA DEL PUERTO, 39, GRAO, POBLATS MARÍTIMS, Valencia ",46021,39.46709,-0.35582
"SH VALENCIA PALACE","El Pla del Real, Valencia",8.3,2360,285,2022-11-06,"PASEO DE LA ALAMEDA, 32, Valencia ",46023,39.4675577,-0.359796353075922
"REINA 107 BEACH BOUTIQUE","Poblados marítimos, Valencia",8.7,393,349,2022-11-06,"CARRER DE LA REINA, 107, Valencia ",46011,39.4684516,-0.328803
"SH INGLES BOUTIQUE HOTEL","Ciutat Vella, Valencia",8.2,1265,225,2022-11-06,"CALLE  DEL MARQUÉS DE DOS AGUAS, 6, CIUDAD VIEJA, Valencia ",46002,39.4732021,-0.3743062
"HOTEL SAN LORENZO BOUTIQUE","Ciutat Vella, Valencia",8.4,1564,169,2022-11-06,"PLAZA DE SAN LORENZO, 2, Valencia ",46003,39.4778128,-0.374827315285652
"BALCÓN AL MAR","Poblados marítimos, Valencia",8.3,568,118,2022-11-06,"CARRER DE JOAN JOSEP SISTER, 1, Valencia ",46024,39.4601149,-0.3337991
"NH VALENCIA CENTER","Campanar, Valencia",8.1,3409,214.5,2022-11-06,"CALLE DE RICARDO MICÓ, 1, Valencia ",46009,39.4808319,-0.387316431843575
"HOTEL OLYMPIA UNIVERSIDADES","Benimaclet, Valencia",8.5,2522,95,2022-11-06,"CALLE DEL DOCTOR VICENTE ZARAGOZA, 13, Valencia ",46020,39.4852155,-0.3632217
"OTTOH CHARM STAY","Ciutat Vella, Valencia",8.9,845,394,2022-11-06,"CARRER DEL SANTÍSSIM, 5, CIUDAD VIEJA, Valencia ",46003,39.47466,-0.37147
"HOTEL EL SIGLO","Ciutat Vella, Valencia",8,880,123.5,2022-11-06,"PLAZA DE SANTA CATALINA, 11, Valencia ",46001,39.473877,-0.3760907
"BLANQ CARMEN HOTEL","Ciutat Vella, Valencia",8.3,1508,167.5,2022-11-06,"CALLE BLANQUERIAS, 11, Valencia ",46002,39.4810622,-0.3790927
"COSY ROOMS TAPINERÍA","Ciutat Vella, Valencia",6.8,1200,148.5,2022-11-06,"CARRER DE LA TAPINERIA, 13, Valencia ",46001,39.4747296,-0.3764117
"MD DESIGN HOTEL - PORTAL DEL REAL","Ciutat Vella, Valencia",9,1065,156,2022-11-06,"CARRER DE BOIX, 3, Valencia ",46003,39.47697,-0.37238
"HOTEL BELERET","Poblados del Oeste, Valencia",7.8,2040,158,2022-11-06,"CALLE CAMPAMENTO, 76, BENIMÀMET, Valencia ",46035,39.50056,-0.42511
"PALACIO SANTA CLARA, AUTOGRAPH COLLECTION","Ciutat Vella, Valencia",9.3,263,294.5,2022-11-06,"CALLE DE PASCUAL Y GENIS, 22, Valencia ",46002,39.4682301,-0.3738525
"BLANQ COMEDIAS","Ciutat Vella, Valencia",8.8,1111,172.5,2022-11-06,"CALLE DE LAS COMEDIAS, 21, CIUDAD VIEJA, Valencia ",46003,39.4729205,-0.3723845
"NH COLLECTION COLÓN VALENCIA","Eixample, Valencia",8.7,986,238,2022-11-06,"CALLE DE COLÓN, 32, Valencia ",46004,39.468559,-0.3725678
